# ESTATE-BOARD 2026-09-15T08:58:14Z - one row per LIVE (non-archived) repo, canonical full_name identity.
# Disk-derived columns aggregate UNION over files / MAX over counts across a repo local checkouts, never SUM.
# Absence tokens: NO-LOCAL-CHECKOUT (no clone here, so origin/HEAD columns unmeasurable from this machine); n/a (field does not apply).
repo	checkouts	source	actions_enabled	allowed_actions	sha_pinning	verified_allowed	n_patterns	wf_files	wf_unsound	reusable_pinned	reusable_unpinned	unpinned_all_uses	sole_sound_copy	residue
hyperpolymath/casket-ssg	2	census-n440	true	selected	true	true	99	18	0	5		68	0	clean
hyperpolymath/cccp	1	census-n440	true	selected	true	true	92	16	0	5		0	0	clean
hyperpolymath/chapeliser	1	census-n440	true	selected	true	true	92	19	0	0	0	0	0	clean
hyperpolymath/checky-monkey	1	census-n440	true	all	true	n/a	n/a	17	0	5		0	0	clean
hyperpolymath/chimichanga	1	census-n440	true	selected	true	true	92	19	0	6		0	0	clean
hyperpolymath/choreographic-types	1	census-n440	true	all	true	n/a	n/a	4	0	1		1	0	clean
hyperpolymath/cicd-squabbler	1	census-n440	true	selected	true	true	92	27	0	6		0	0	clean
hyperpolymath/cicd-suite	1	census-n440	true	selected	true	true	92	4	0	0	0	0	0	clean
hyperpolymath/civic-connect	1	census-n440	true	all	true	n/a	n/a	13	0	4		0	0	clean
hyperpolymath/claude-config-vault	0	census-n440	true	all	false	n/a	n/a	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	UNMEASURED-no-local-checkout
hyperpolymath/claude-gecko-browser-extension	1	census-n440	true	selected	true	true	92	10	0	5		0	0	clean
hyperpolymath/claude-integrations	2	census-n440	true	selected	true	true	92	6	0	3		6	0	clean
hyperpolymath/claude-memory	1	census-n440	true	all	true	n/a	n/a	5	0	2		0	0	clean
hyperpolymath/cloud-sync-tuner	1	census-n440	true	selected	true	true	92	14	0	5		0	0	clean
hyperpolymath/cloudflare-dns-terraform	1	census-n440	true	selected	true	true	92	13	0	4		0	0	clean
hyperpolymath/cloudguard-cli	1	census-n440	true	selected	true	true	92	17	0	6		0	0	clean
hyperpolymath/cloudguard-server	1	census-n440	true	all	true	n/a	n/a	17	0	7		0	0	clean
hyperpolymath/conative-gating	1	census-n440	true	all	true	n/a	n/a	22	0	6		0	0	clean
hyperpolymath/conflow	1	census-n440	true	selected	true	true	92	22	0	7		31	0	clean
hyperpolymath/continuation-mesh	2	census-n440	true	selected	true	true	92	7	0	2		8	0	clean
hyperpolymath/contractiles	1	census-n440	true	selected	true	true	92	26	0	7		44	0	clean
hyperpolymath/contractiles-a2-lab	1	census-n440	true	selected	true	true	92	11	0	2		0	0	clean
hyperpolymath/cookie-rebound	1	census-n440	true	selected	true	true	92	17	0	6		0	0	clean
hyperpolymath/coord-tui	1	census-n440	true	selected	true	true	92	7	0	3		5	0	clean
hyperpolymath/coq-jr	2	census-n440	true	all	true	n/a	n/a	13	0	5		32	0	clean
hyperpolymath/cut-calculus	1	census-n440	true	selected	true	true	92	6	0	1		28	0	clean
hyperpolymath/cyo	1	census-n440	true	all	true	n/a	n/a	7	0	3		0	0	clean
hyperpolymath/dafniser	1	census-n440	true	selected	true	true	92	18	0	0	0	0	0	clean
hyperpolymath/ddraig-ssg	1	census-n440	true	all	true	n/a	n/a	5	0	1		0	0	clean
hyperpolymath/deed-core	1	census-n440	true	selected	true	true	92	13	0	0	0	0	0	clean
hyperpolymath/deed-ecosystem	4	census-n440	true	selected	true	true	92	6	0	1		0	0	clean
hyperpolymath/deed-validate-action	0	census-n440	true	selected	true	true	92	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	UNMEASURED-no-local-checkout
hyperpolymath/defiant	1	census-n440	true	selected	true	true	92	13	0	3		30	0	clean
hyperpolymath/dev-notes	1	census-n440	true	selected	true	true	92	5	0	0	0	0	0	clean
hyperpolymath/dev-notes-vault	1	census-n440	true	all	true	n/a	n/a	3	0	0	0	0	0	clean
hyperpolymath/developer-ecosystem	4	census-n440	true	selected	true	true	92	14	0	5		0	0	clean
hyperpolymath/dictask	1	census-n440	true	selected	true	true	92	14	0	6		0	0	clean
hyperpolymath/dicti0nary-attack	1	census-n440	true	selected	true	true	92	16	0	6		2	0	clean
hyperpolymath/docmatrix	1	census-n440	true	selected	true	true	92	17	0	4		0	0	clean
hyperpolymath/docudactyl	1	census-n440	true	selected	true	true	92	15	1	5		0	0	RESIDUE
hyperpolymath/dotfiles	1	census-n440	true	selected	true	true	92	7	0	3		0	0	clean
hyperpolymath/dotmatrix-fileprinter	3	census-n440	true	all	true	n/a	n/a	14	0	6		54	1	clean
hyperpolymath/double-track-browser	1	census-n440	true	all	true	n/a	n/a	17	0	5		50	0	clean
hyperpolymath/echidna	2	census-n440	true	selected	true	true	92	32	0	9		164	0	clean
hyperpolymath/echidnabot	1	census-n440	true	selected	true	true	92	30	0	7		85	0	clean
hyperpolymath/echo-types	1	census-n440	true	selected	true	true	92	11	0	4		16	0	clean
hyperpolymath/echobox	1	census-n440	true	selected	true	true	92	8	0	2		29	0	clean
hyperpolymath/eclexia	1	census-n440	true	all	true	n/a	n/a	18	0	0	0	0	0	clean
hyperpolymath/eclexiaiser	1	census-n440	true	selected	true	true	92	17	0	0	0	0	0	clean
hyperpolymath/email-octad-experiment	1	census-n440	true	selected	true	true	92	28	3	6		0	0	RESIDUE
hyperpolymath/empty-linter	2	census-n440	true	all	true	n/a	n/a	15	0	4		0	0	clean
hyperpolymath/ensaid-spec	1	census-n440	true	all	true	n/a	n/a	10	0	3		0	0	clean
hyperpolymath/ephapax	1	census-n440	true	selected	true	true	92	15	0	0	0	0	0	clean
hyperpolymath/ephapaxiser	1	census-n440	true	selected	true	true	92	18	0	0	0	0	0	clean
hyperpolymath/epistemic-types	1	census-n440	true	all	true	n/a	n/a	7	0	2		7	0	clean
hyperpolymath/error-lang	1	census-n440	true	all	true	n/a	n/a	11	0	0	0	0	0	clean
hyperpolymath/excel-economic-numbers-tool	1	census-n440	true	all	true	n/a	n/a	19	1	5		0	0	RESIDUE
hyperpolymath/explicit-trust-plane	1	census-n440	true	all	true	n/a	n/a	16	0	5		0	0	clean
hyperpolymath/explore	1	census-n440	true	all	false	n/a	n/a	8	1	1		10	0	RESIDUE
hyperpolymath/feedback-o-tron	2	census-n440	true	selected	true	true	92	16	0	5		1	0	clean
hyperpolymath/ffmpeg-ffi	1	census-n440	true	selected	true	true	92	13	1	5		0	1	RESIDUE
hyperpolymath/filesoup	1	census-n440	true	selected	true	true	92	21	0	6		0	0	clean
hyperpolymath/fireflag	1	census-n440	true	all	true	n/a	n/a	21	0	5		0	0	clean
hyperpolymath/firmboot	1	census-n440	true	all	false	n/a	n/a	3	0	0	0	0	0	clean
hyperpolymath/first-post	1	census-n440	true	all	true	n/a	n/a	26	0	6		52	0	clean
hyperpolymath/flat-mate	1	census-n440	true	selected	true	true	92	13	0	5		18	0	clean
hyperpolymath/flatracoon	1	census-n440	true	all	true	n/a	n/a	10	0	4		0	0	clean
hyperpolymath/formatrix-docs	1	census-n440	true	all	true	n/a	n/a	17	1	4		0	1	RESIDUE
hyperpolymath/frayed-knot-toolkit	1	census-n440	true	all	true	n/a	n/a	11	0	5		0	0	clean
hyperpolymath/fraying-model-computational-testbed	1	census-n440	true	selected	true	true	92	20	1	5		27	0	RESIDUE
hyperpolymath/futharkiser	1	census-n440	true	all	true	n/a	n/a	17	0	0	0	0	0	clean
hyperpolymath/game-server-admin	1	census-n440	true	all	true	n/a	n/a	18	0	5		0	0	clean
hyperpolymath/git-reticulator	1	census-n440	true	all	true	n/a	n/a	15	0	7		27	0	clean
hyperpolymath/git-scripts	1	census-n440	true	selected	true	true	92	7	0	3		6	0	clean
hyperpolymath/git-seo	1	census-n440	true	selected	true	true	92	7	0	1		27	0	clean
hyperpolymath/gitbot-fleet	4	census-n440	true	selected	true	true	94	22	0	5		148	0	clean
hyperpolymath/glyphbase	1	census-n440	true	selected	true	true	92	11	0	1	1	29	0	RESIDUE
hyperpolymath/gnpl	1	census-n440	true	selected	true	true	92	10	0	1	1	28	0	RESIDUE
hyperpolymath/grim-repo	1	census-n440	true	selected	true	true	92	16	0	6		0	0	clean
hyperpolymath/gsbot	1	census-n440	true	all	true	n/a	n/a	5	0	1		0	0	clean
hyperpolymath/gv-clade-index	1	census-n440	true	selected	true	true	92	19	1	6		0	1	RESIDUE
hyperpolymath/haec	1	census-n440	true	selected	true	true	92	25	0	5		41	0	clean
hyperpolymath/halideiser	1	census-n440	true	selected	true	true	92	18	0	0	0	0	0	clean
hyperpolymath/hermeneia	2	census-n440	true	selected	true	true	92	29	6	6		65	0	RESIDUE
hyperpolymath/hesiod-dns-map	1	census-n440	true	selected	true	true	92	15	0	6		0	0	clean
hyperpolymath/heterogenous-mobile-computing	2	census-n440	true	selected	true	true	92	20	0	7		58	0	clean
hyperpolymath/homebrew-tap	1	census-n440	true	all	true	n/a	n/a	9	0	3		0	0	clean
hyperpolymath/hotchocolabot	1	census-n440	true	all	true	n/a	n/a	4	0	1		0	0	clean
hyperpolymath/hpm-crypto-rsr	1	census-n440	true	all	true	n/a	n/a	6	0	2		0	0	clean
hyperpolymath/hpm-github-api-rsr	1	census-n440	true	all	true	n/a	n/a	4	0	1		0	0	clean
hyperpolymath/hpm-http-client-rsr	1	census-n440	true	all	true	n/a	n/a	4	0	1		0	0	clean
hyperpolymath/hpm-json-rsr	1	census-n440	true	all	true	n/a	n/a	4	0	1		0	0	clean
hyperpolymath/http-capability-gateway	1	census-n440	true	all	true	n/a	n/a	16	0	5		0	0	clean
hyperpolymath/hybrid-automation-router	1	census-n440	true	selected	true	true	92	23	0	8		43	0	clean
hyperpolymath/hypatia	2	census-n440	true	selected	true	true	92	30	0	5		385	0	clean
hyperpolymath/hyperpolymath	2	census-n440	true	all	true	n/a	n/a	16	0	5		60	0	clean
hyperpolymath/hyperpolymath-sovereign-registry	1	census-n440	true	all	true	n/a	n/a	21	0	5		0	0	clean
hyperpolymath/hyperpolymath.github.io	1	census-n440	true	selected	true	true	92	12	0	4		0	0	clean
hyperpolymath/i-human	1	census-n440	true	all	true	n/a	n/a	15	0	5		0	1	clean
hyperpolymath/ideas-to-alphas	1	census-n440	true	selected	true	true	92	26	0	4		65	0	clean
hyperpolymath/idrisiser	2	census-n440	true	selected	true	true	92	18	0	7		36	0	clean
hyperpolymath/im-docs	1	census-n440	true	selected	true	true	92	15	0	5		0	0	clean
hyperpolymath/info	1	census-n440	true	selected	true	true	92	7	0	1		28	0	clean
hyperpolymath/infrastructure-automation	1	census-n440	true	all	true	n/a	n/a	16	0	2		0	0	clean
hyperpolymath/intsoc-transactor	2	census-n440	true	selected	true	true	92	16	0	6	1	1	0	RESIDUE
hyperpolymath/invariant-path	1	census-n440	true	all	true	n/a	n/a	18	0	6		14	0	clean
hyperpolymath/ipfs-overlay	2	census-n440	true	selected	true	true	92	13	0	5		40	1	clean
hyperpolymath/ipv6-only	2	census-n440	true	selected	true	true	92	20	0	6		0	0	clean
hyperpolymath/ipv6-site-enforcer	1	census-n440	true	selected	true	true	92	10	0	5		0	0	clean
hyperpolymath/ipv6-tools	2	census-n440	true	all	true	n/a	n/a	13	0	5		37	0	clean
hyperpolymath/iseriser	2	census-n440	true	selected	true	true	92	18	0	7		0	0	clean
hyperpolymath/jaffascript	1	census-n440	true	selected	true	true	92	10	0	0	0	0	0	clean
hyperpolymath/januskey	1	census-n440	true	selected	true	true	92	22	3	6		72	0	RESIDUE
hyperpolymath/jewell.nexus	1	census-n440	true	all	true	n/a	n/a	4	0	1		4	0	clean
hyperpolymath/jonathanjewell.dev	1	census-n440	true	all	true	n/a	n/a	4	0	1		4	0	clean
hyperpolymath/jtv-halting-islands-ct	1	census-n440	true	selected	true	true	92	6	0	1		35	0	clean
hyperpolymath/jtv-lang	1	census-n440	true	selected	true	true	92	19	0	0	0	0	0	clean
hyperpolymath/julia-ecosystem	2	census-n440	true	all	true	n/a	n/a	8	0	3		0	0	clean
hyperpolymath/julia-professional-registry	1	census-n440	true	selected	true	true	92	13	0	5		15	0	clean
hyperpolymath/julianiser	1	census-n440	true	selected	true	true	92	18	0	0	0	0	0	clean
hyperpolymath/k9-ecosystem	1	census-n440	true	selected	true	true	92	6	0	1		3	0	clean
hyperpolymath/kaldor-iiot	2	census-n440	true	selected	true	true	92	19	0	5		84	0	clean
hyperpolymath/kategoria	1	census-n440	true	selected	true	true	92	18	0	6		0	0	clean
hyperpolymath/kea	1	census-n440	true	selected	true	true	92	15	0	6		0	0	clean
hyperpolymath/kitchenspeak	1	census-n440	true	selected	true	true	92	29	1	0	0	0	0	RESIDUE
hyperpolymath/knot-rider	1	census-n440	true	selected	true	true	92	28	0	6		34	0	clean
hyperpolymath/krl	1	census-n440	true	selected	true	true	92	20	0	7		0	0	clean
hyperpolymath/laminar	1	census-n440	true	selected	true	true	92	16	0	6		0	0	clean
hyperpolymath/laniakea	2	census-n440	true	selected	true	true	92	15	0	4	1	96	0	RESIDUE
hyperpolymath/launch-scaffolder	1	census-n440	true	selected	true	true	92	6	0	2		0	0	clean
hyperpolymath/lcb-website	1	census-n440	true	all	true	n/a	n/a	18	0	5		0	0	clean
hyperpolymath/lfs-shared	1	census-n440	true	all	true	n/a	n/a	4	0	0	0	4	0	clean
hyperpolymath/linguist	1	census-n440	true	selected	true	true	92	10	0	0	0	1	0	clean
hyperpolymath/lithoglyph	3	census-n440	true	selected	true	true	92	30	0	6		149	0	clean
hyperpolymath/live-files	1	census-n440	true	selected	true	true	92	15	0	2		0	0	clean
hyperpolymath/llm-grace	1	census-n440	true	all	true	n/a	n/a	23	1	3	1	65	0	RESIDUE
hyperpolymath/lol	1	census-n440	true	all	true	n/a	n/a	10	0	0	0	1	0	clean
hyperpolymath/lua-filters	1	census-n440	true	selected	true	true	92	9	0	2		28	0	clean
hyperpolymath/lucidscript	1	census-n440	true	all	true	n/a	n/a	10	0	0	0	0	0	clean
hyperpolymath/lustreiser	1	census-n440	true	selected	true	true	92	18	0	0	0	0	0	clean
hyperpolymath/maa-framework	1	census-n440	true	selected	true	true	92	15	0	5		25	0	clean
hyperpolymath/manifesto	1	census-n440	true	all	true	n/a	n/a	15	0	5		0	0	clean
hyperpolymath/marches	1	census-n440	true	selected	true	true	92	6	0	0	0	37	0	clean
hyperpolymath/me-dialect	1	census-n440	true	all	true	n/a	n/a	8	0	0	0	0	0	clean
hyperpolymath/megadog	1	census-n440	true	all	true	n/a	n/a	15	0	3		0	0	clean
hyperpolymath/memory-vault	0	census-n440	true	all	false	n/a	n/a	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	NO-LOCAL-CHECKOUT	UNMEASURED-no-local-checkout
hyperpolymath/metadata-grammar	1	census-n440	true	selected	true	true	92	15	0	5		0	0	clean
hyperpolymath/methodologies	1	census-n440	true	selected	true	true	92	17	0	6		36	0	clean
hyperpolymath/misinformation-defence-platform	1	census-n440	true	all	true	n/a	n/a	14	1	4		0	0	RESIDUE
hyperpolymath/modshells	1	census-n440	true	selected	true	true	92	15	0	7		0	0	clean
hyperpolymath/multiterm	1	census-n440	true	selected	true	true	92	6	0	1		28	0	clean
hyperpolymath/my-lang	1	census-n440	true	selected	true	true	92	17	0	0	0	0	0	clean
hyperpolymath/mylangiser	1	census-n440	true	all	true	n/a	n/a	19	0	0	0	0	0	clean
hyperpolymath/nafa-app	1	census-n440	true	all	true	n/a	n/a	15	0	5		0	0	clean
hyperpolymath/natsci-studio	1	census-n440	true	selected	true	true	92	19	1	7		0	0	RESIDUE
hyperpolymath/nesy-solver	2	census-n440	true	selected	true	true	92	19	2	7		0	1	RESIDUE
hyperpolymath/network-ambulance	1	census-n440	true	selected	true	true	92	21	0	4		40	0	clean
hyperpolymath/network-dashboard	1	census-n440	true	selected	true	true	92	11	1	5		27	0	RESIDUE
hyperpolymath/network-outpost	2	census-n440	true	all	true	n/a	n/a	5	0	0	0	70	0	clean
hyperpolymath/neural-foundations	1	census-n440	true	selected	true	true	92	15	2	3		0	0	RESIDUE
hyperpolymath/neurophone	1	census-n440	true	selected	true	true	92	22	0	6		32	0	clean
hyperpolymath/nexia-list	1	census-n440	true	all	true	n/a	n/a	14	0	3		31	0	clean
hyperpolymath/nextgen-databases	2	census-n440	true	selected	true	true	92	14	0	5		44	0	clean
hyperpolymath/nextgen-language-evangeliser	1	census-n440	true	selected	true	true	92	21	0	4		0	0	clean
hyperpolymath/nextgen-languages	1	census-n440	true	selected	true	true	92	16	0	0	0	0	0	clean
hyperpolymath/nextgen-typing	1	census-n440	true	selected	true	true	92	28	0	7		48	0	clean
hyperpolymath/nickel-augmentation	1	census-n440	true	selected	true	true	92	15	0	5		23	0	clean
hyperpolymath/nimiser	1	census-n440	true	selected	true	true	92	19	0	0	0	0	0	clean
hyperpolymath/no-nonsense-nntps	1	census-n440	true	selected	true	true	92	15	0	5		23	0	clean
hyperpolymath/not-so-serious-software	1	census-n440	true	all	true	n/a	n/a	5	0	2		0	0	clean
hyperpolymath/oblibeniser	1	census-n440	true	selected	true	true	92	17	0	0	0	0	0	clean
hyperpolymath/oblibeny	1	census-n440	true	all	true	n/a	n/a	13	0	0	0	0	0	clean
hyperpolymath/ochrance	1	census-n440	true	selected	true	true	92	25	0	5		0	0	clean
hyperpolymath/ochrance-framework	1	census-n440	true	selected	true	true	92	16	0	6		0	0	clean
hyperpolymath/odds-and-sods-package-manager	1	census-n440	true	selected	true	true	92	18	0	5		43	0	clean
hyperpolymath/oikos-economics-accounting-dsl	2	census-n440	true	selected	true	true	92	17	0	5		27	0	clean
hyperpolymath/oikosbot	2	census-n440	true	selected	true	true	92	15	0	5		58	0	clean
hyperpolymath/oikosbot-estate	1	census-n440	true	all	true	n/a	n/a	2	0	0	0	0	0	clean
hyperpolymath/otpiser	1	census-n440	true	all	true	n/a	n/a	18	0	0	0	0	0	clean
hyperpolymath/palimpsest-license	2	census-n440	true	selected	true	true	92	21	1	5		0	0	RESIDUE
hyperpolymath/panic-attack	1	census-n440	true	selected	true	true	92	23	0	7		73	0	clean
hyperpolymath/panll	1	census-n440	true	all	true	n/a	n/a	17	2	6		27	1	RESIDUE
hyperpolymath/panoply	1	census-n440	true	selected	true	true	92	27	1	7		45	0	RESIDUE
hyperpolymath/patallm-gallery	1	census-n440	true	all	true	n/a	n/a	16	0	5		53	0	clean
hyperpolymath/patch-bridge	1	census-n440	true	selected	true	true	92	19	0	7		0	0	clean
hyperpolymath/phantom-metal-taste	2	census-n440	true	selected	true	true	92	17	0	4		0	0	clean
hyperpolymath/php-aegis	1	census-n440	true	selected	true	true	92	18	0	5		0	0	clean
hyperpolymath/phronesis	1	census-n440	true	selected	true	true	92	16	0	0	0	0	0	clean
hyperpolymath/phronesiser	1	census-n440	true	all	true	n/a	n/a	18	0	0	0	0	0	clean
hyperpolymath/pimcore-fortress	1	census-n440	true	all	true	n/a	n/a	16	0	5		0	0	clean
hyperpolymath/plasma-parser-writer	1	census-n440	true	selected	true	true	92	16	0	6		0	0	clean
hyperpolymath/poly-k8s-mcp	1	census-n440	true	all	true	n/a	n/a	11	0	4		18	0	clean
hyperpolymath/poly-observability-mcp	1	census-n440	true	all	true	n/a	n/a	20	0	5		0	0	clean
hyperpolymath/polyglot-formalisms-elixir	1	census-n440	true	selected	true	true	92	13	0	4		0	0	clean
hyperpolymath/polyglot-formalisms-gleam	1	census-n440	true	all	true	n/a	n/a	13	0	5		1	0	clean
hyperpolymath/polyglot-i18n	1	census-n440	true	selected	true	true	92	21	0	5		52	0	clean
hyperpolymath/polysafe-gitfixer	1	census-n440	true	selected	true	true	92	15	0	5		0	0	clean
hyperpolymath/polystack	1	census-n440	true	all	true	n/a	n/a	19	1	1		1	1	RESIDUE
hyperpolymath/pons-asinorum	1	census-n440	true	all	true	n/a	n/a	6	0	1		27	0	clean
hyperpolymath/ponyiser	1	census-n440	true	selected	true	true	92	18	0	0	0	0	0	clean
hyperpolymath/pow-the-game	1	census-n440	true	all	true	n/a	n/a	11	0	5		0	0	clean
hyperpolymath/preference-injector	2	census-n440	true	selected	true	true	92	20	0	6		0	0	clean
hyperpolymath/presswerk	1	census-n440	true	selected	true	true	92	20	0	6		47	0	clean
hyperpolymath/project-wharf	1	census-n440	true	selected	true	true	92	13	2	4		2	0	RESIDUE
hyperpolymath/proof-burrower	2	census-n440	true	all	true	n/a	n/a	27	0	7		75	0	clean
hyperpolymath/proof-of-work	1	census-n440	true	selected	true	true	92	25	0	7		53	0	clean
hyperpolymath/protocol-squisher	1	census-n440	true	selected	true	true	92	13	0	5		12	0	clean
hyperpolymath/proven	1	census-n440	true	selected	true	true	92	33	2	6		0	0	RESIDUE
hyperpolymath/proven-servers	1	census-n440	true	selected	true	true	92	19	0	5		73	0	clean
hyperpolymath/proven-tests-and-benches	3	census-n440	true	all	true	n/a	n/a	10	0	5		5	0	clean
hyperpolymath/pseudoscript	1	census-n440	true	selected	true	true	92	10	0	0	0	0	0	clean
hyperpolymath/quandledb	1	census-n440	true	selected	true	true	92	14	0	5		17	0	clean
